aX,aY,aZ,gX,gY,gZ
0.130,-1.742,0.593,-21.973,43.884,196.228
0.132,-1.761,0.521,-14.221,57.129,217.957
0.123,-1.881,0.527,-8.850,64.636,239.380
0.081,-2.312,0.584,-11.658,70.007,267.334
-0.117,-2.675,0.727,-9.216,76.111,317.139
-0.193,-2.941,0.959,-12.085,89.172,395.020
-0.562,-3.288,1.189,-19.226,115.234,483.154
-1.168,-3.318,1.146,31.921,158.630,599.609
-1.706,-2.939,1.029,89.294,198.853,730.042
-1.996,-2.266,0.845,142.822,222.534,846.008
-2.108,-1.740,0.762,186.279,226.746,921.143
-2.254,-1.280,0.864,218.994,215.637,961.975
-2.424,-0.879,0.894,231.873,206.360,978.516
-2.651,-0.675,0.795,241.760,202.759,976.013
-2.834,-0.421,0.647,262.573,194.336,974.182
-2.966,0.062,0.584,279.724,176.208,971.619
-2.908,0.905,0.587,281.799,155.640,955.750
-2.636,1.749,0.635,277.100,138.489,903.015
-2.191,2.359,0.549,277.588,126.099,805.115
-1.595,2.842,0.500,226.440,118.591,683.838
-1.101,3.383,0.493,161.987,116.882,564.575
-0.668,3.941,0.482,107.361,122.864,452.881
-0.290,4.000,0.200,92.224,135.986,340.454
-0.098,4.000,-0.098,60.242,136.597,215.088
-0.188,3.450,-0.294,15.869,114.075,68.054
-0.335,1.806,-0.348,-14.954,74.524,-63.293
-0.541,0.380,-0.210,-56.885,31.494,-121.033
-0.608,-0.372,0.010,-89.539,-0.610,-97.168
-0.570,-0.340,0.215,-96.130,-11.963,-26.672
-0.470,0.173,0.189,-75.745,-2.380,41.626
-0.345,0.609,-0.000,-39.917,13.672,72.144
-0.218,0.864,-0.159,-4.883,19.165,70.007
0.037,0.843,-0.167,4.028,11.108,49.316
0.164,0.954,-0.089,4.395,-2.747,34.363
0.206,0.997,0.068,10.254,-15.015,24.536
0.136,0.913,0.274,-3.052,-19.348,10.620
0.085,0.898,0.283,-6.531,-9.460,12.756
0.037,1.004,0.207,1.953,4.578,25.513
-0.044,1.192,0.071,20.935,15.381,37.598
-0.062,1.372,-0.162,33.691,17.700,41.260
-0.037,1.504,-0.251,25.757,6.775,33.203
0.045,1.635,-0.164,-1.709,-13.733,18.311
0.161,1.556,-0.026,-15.991,-31.189,-2.686
0.283,1.301,0.163,-25.269,-39.246,-21.729
0.360,1.114,0.208,-22.034,-32.593,-23.987
0.366,1.135,0.149,-18.066,-17.700,-10.925
0.371,1.259,0.009,-9.338,-4.395,1.892
0.377,1.294,-0.121,-7.263,1.465,2.747
0.370,1.203,-0.162,-7.202,-1.160,-5.432
0.357,1.105,-0.129,-11.230,-7.019,-13.123
0.328,1.010,-0.072,-14.160,-11.230,-17.456
0.314,0.925,-0.032,-13.123,-11.597,-18.738
0.310,0.855,-0.016,-10.376,-8.667,-16.663
0.287,0.778,-0.037,-7.507,-4.211,-12.268
0.261,0.793,-0.074,-6.836,-1.160,-4.883
0.242,0.906,-0.100,-8.484,0.061,2.136
0.207,1.015,-0.108,-12.634,0.061,3.418
0.175,1.021,-0.111,-10.193,-0.610,-2.014
0.181,0.968,-0.140,-6.897,-1.160,-7.385
0.193,0.910,-0.138,-6.836,-3.174,-9.338
0.191,0.900,-0.076,-6.104,-6.470,-7.141
0.211,0.951,-0.040,-5.493,-5.920,-3.479
0.229,1.000,-0.072,-4.028,-2.502,-2.991
0.241,1.003,-0.141,-1.770,-0.549,-6.592
