aX,aY,aZ,gX,gY,gZ
0.291,1.908,1.207,122.192,109.802,44.556
0.266,1.951,0.997,112.793,132.690,-27.100
0.112,1.779,1.038,118.286,141.052,-95.032
-0.211,1.655,1.321,81.177,133.728,-150.024
-0.179,1.352,1.615,80.444,140.320,-203.125
0.023,1.040,1.732,94.910,166.382,-243.835
-0.089,0.694,1.597,76.294,216.248,-263.855
-0.389,0.370,1.427,48.157,257.507,-277.771
-0.403,0.111,1.202,41.748,288.086,-277.527
-0.184,-0.130,0.935,38.818,314.697,-268.494
-0.011,-0.393,0.578,41.077,334.656,-253.845
0.108,-0.630,0.258,32.349,337.708,-227.844
0.223,-0.766,0.050,4.395,315.674,-185.852
0.274,-0.753,-0.044,-30.212,278.992,-133.606
0.304,-0.505,0.039,-56.091,236.267,-78.674
0.287,-0.146,0.228,-70.801,199.341,-38.940
0.292,0.193,0.423,-78.064,177.795,-20.569
0.339,0.467,0.585,-84.106,172.302,-23.010
0.340,0.639,0.686,-89.050,180.969,-42.664
0.287,0.687,0.686,-88.867,200.989,-74.280
0.234,0.632,0.652,-88.196,220.764,-108.887
0.167,0.522,0.575,-88.684,238.586,-138.977
0.118,0.387,0.417,-81.543,257.812,-164.856
0.122,0.243,0.264,-77.271,274.536,-187.134
0.219,0.094,0.107,-71.533,286.987,-204.285
0.342,-0.081,-0.062,-72.205,295.105,-216.125
0.433,-0.243,-0.235,-78.430,294.067,-218.872
0.506,-0.340,-0.298,-95.276,278.137,-210.754
0.575,-0.373,-0.268,-108.948,254.150,-196.472
0.608,-0.346,-0.122,-115.234,234.436,-181.946
0.622,-0.281,0.051,-112.488,225.952,-172.852
0.509,-0.226,0.181,-114.624,235.901,-170.837
0.356,-0.205,0.232,-101.868,257.507,-174.622
0.222,-0.222,0.198,-88.989,286.438,-182.922
0.105,-0.244,0.106,-74.829,318.420,-193.359
-0.070,-0.268,-0.035,-67.078,348.328,-205.444
-0.223,-0.318,-0.175,-66.711,372.437,-220.215
-0.268,-0.383,-0.306,-78.735,391.357,-236.877
-0.310,-0.482,-0.528,-69.763,409.607,-252.075
-0.257,-0.622,-0.800,-50.232,419.556,-263.855
-0.236,-0.824,-1.076,-42.175,413.269,-270.142
-0.218,-1.023,-1.242,-60.852,391.602,-265.625
-0.235,-1.215,-1.454,-66.345,357.849,-250.427
-0.214,-1.359,-1.593,-68.909,316.345,-224.060
-0.141,-1.427,-1.648,-71.289,263.672,-187.195
-0.055,-1.404,-1.615,-71.533,208.679,-145.325
-0.005,-1.266,-1.474,-61.523,156.372,-105.164
0.091,-1.043,-1.237,-67.139,115.662,-73.914
0.186,-0.811,-0.979,-68.909,86.304,-53.772
0.154,-0.594,-0.705,-69.153,69.458,-44.983
0.114,-0.436,-0.477,-75.195,69.458,-47.607
0.049,-0.357,-0.339,-77.881,87.585,-61.096
-0.013,-0.383,-0.399,-56.213,119.446,-80.627
-0.071,-0.510,-0.674,-8.972,152.954,-99.731
-0.107,-0.673,-1.067,39.124,176.086,-112.183
-0.145,-0.853,-1.378,34.485,183.044,-117.798
-0.124,-1.006,-1.616,22.888,166.687,-114.868
-0.095,-1.123,-1.738,15.503,130.066,-103.882
-0.105,-1.175,-1.668,-7.996,81.909,-86.060
-0.118,-1.128,-1.441,-20.752,33.447,-63.477
-0.100,-1.045,-1.215,-21.484,-0.977,-43.701
-0.048,-0.952,-1.048,-9.521,-21.973,-27.954
-0.012,-0.876,-0.948,2.441,-33.447,-16.846
0.017,-0.820,-0.908,12.085,-36.987,-9.827
0.045,-0.799,-0.916,22.034,-36.011,-7.202
0.054,-0.799,-0.948,35.461,-36.621,-6.714
0.075,-0.787,-0.968,44.922,-40.955,-5.371
0.085,-0.775,-0.900,45.959,-47.424,-4.211
0.110,-0.780,-0.830,34.729,-54.260,-3.601
0.124,-0.787,-0.754,29.968,-58.655,-2.808
0.130,-0.785,-0.692,28.931,-58.594,-0.854
0.149,-0.768,-0.631,24.658,-53.345,1.953
0.130,-0.736,-0.579,19.348,-44.128,5.371
0.106,-0.702,-0.609,24.231,-29.907,8.118
0.108,-0.680,-0.712,27.222,-13.733,9.094
0.103,-0.665,-0.847,35.400,-2.930,9.338
0.130,-0.666,-1.012,47.424,2.075,9.033
0.142,-0.679,-1.121,36.621,0.610,8.728
0.135,-0.695,-1.170,28.748,-7.446,9.460
0.100,-0.714,-1.165,24.048,-19.104,11.658
0.056,-0.700,-1.067,17.761,-32.532,15.625
0.003,-0.664,-0.940,13.794,-42.542,20.142
0.001,-0.630,-0.855,17.883,-45.654,22.766
0.022,-0.593,-0.810,24.170,-45.471,24.231
0.049,-0.553,-0.782,25.574,-44.495,24.414
0.045,-0.530,-0.767,24.841,-42.725,22.339
0.051,-0.526,-0.778,27.710,-41.199,19.043
0.090,-0.540,-0.813,26.672,-41.321,15.808
0.135,-0.567,-0.836,21.729,-45.532,14.099
0.161,-0.599,-0.835,23.010,-52.856,14.099
0.178,-0.602,-0.784,21.362,-61.584,16.602
0.179,-0.589,-0.693,12.146,-69.153,19.775
0.171,-0.560,-0.593,5.066,-72.571,22.888
0.167,-0.515,-0.498,0.793,-70.251,25.757
0.174,-0.466,-0.423,-2.502,-59.875,26.550
0.174,-0.425,-0.409,0.671,-43.030,24.475
0.182,-0.402,-0.472,7.202,-21.667,19.836
0.199,-0.404,-0.605,10.498,-2.808,13.611
0.190,-0.427,-0.763,14.526,9.216,7.446
0.170,-0.474,-0.915,18.555,14.709,1.892
0.170,-0.527,-1.044,21.423,12.695,-2.136
0.166,-0.579,-1.124,25.574,2.808,-3.235
0.161,-0.611,-1.132,24.536,-12.573,-2.319
0.164,-0.615,-1.078,25.330,-30.640,0.549
0.188,-0.587,-0.937,20.142,-46.204,4.944
0.225,-0.552,-0.815,12.878,-56.396,8.484
0.244,-0.523,-0.710,9.583,-61.096,10.315
0.267,-0.506,-0.639,9.949,-60.669,10.864
0.285,-0.492,-0.576,8.545,-57.373,10.986
0.291,-0.478,-0.526,6.226,-52.124,10.498
0.286,-0.473,-0.505,8.789,-44.556,9.277
0.284,-0.474,-0.523,14.099,-35.645,7.751
0.289,-0.471,-0.569,18.799,-27.344,6.653
0.314,-0.460,-0.613,19.775,-21.423,5.554
0.334,-0.460,-0.642,19.104,-17.456,3.845
0.344,-0.471,-0.640,17.151,-15.564,1.709
0.347,-0.491,-0.632,17.456,-12.634,0.427
0.337,-0.500,-0.588,20.264,-9.094,0.183
0.345,-0.504,-0.599,27.649,-3.601,0.916
0.119,2.227,-0.137,2.258,14.221,-189.514
0.069,1.999,-0.054,-13.428,-4.028,-258.240
0.034,1.648,0.152,-30.029,-16.602,-319.824
0.060,1.297,0.243,-5.371,-16.846,-362.549
0.111,0.937,0.300,25.574,-5.981,-389.771
0.204,0.623,0.374,26.917,2.563,-399.719
0.303,0.368,0.346,34.363,16.296,-391.663
0.338,0.221,0.344,26.611,29.419,-368.469
0.424,0.246,0.262,23.010,48.950,-330.322
0.362,0.328,0.230,43.030,53.894,-297.485
0.340,0.381,0.164,58.044,56.335,-279.541
0.398,0.391,0.103,73.914,60.242,-270.142
0.507,0.369,0.067,77.332,61.279,-264.893
0.601,0.324,0.050,75.500,60.364,-262.207
0.665,0.240,0.112,62.439,55.481,-263.794
0.670,0.143,0.205,50.659,53.589,-264.832
0.704,0.121,0.258,36.194,59.326,-256.409
0.703,0.159,0.302,26.733,68.054,-246.094
0.613,0.123,0.309,18.250,81.665,-241.760
0.558,0.096,0.394,0.549,85.266,-240.784
0.552,0.047,0.407,14.404,98.755,-237.793
0.509,-0.056,0.445,56.580,110.352,-238.892
0.518,-0.138,0.411,103.577,128.662,-233.032
0.606,-0.264,0.255,128.357,158.691,-224.365
0.565,-0.367,0.035,131.653,184.387,-214.478
0.589,-0.321,-0.316,80.811,203.613,-192.444
0.648,-0.318,-0.523,15.930,198.059,-177.856
0.553,-0.309,-0.429,100.464,169.617,-180.786
0.579,-0.197,-0.403,96.924,155.518,-170.349
0.516,-0.081,-0.589,41.199,156.128,-164.246
0.620,-0.014,-0.565,-5.371,144.165,-167.297
0.525,-0.104,-0.479,29.114,122.986,-190.369
0.480,-0.250,-0.471,27.893,115.784,-201.721
0.555,-0.425,-0.479,25.879,111.816,-210.083
0.516,-0.639,-0.470,-16.418,106.506,-216.125
0.535,-0.776,-0.457,-6.470,102.234,-208.740
0.600,-0.855,-0.464,-9.094,96.436,-191.040
0.635,-0.788,-0.465,3.540,89.172,-171.448
0.564,-0.712,-0.433,-6.042,80.688,-152.588
0.495,-0.626,-0.399,-26.794,77.576,-142.700
0.468,-0.526,-0.411,-54.626,78.552,-135.742
0.439,-0.447,-0.437,-76.904,80.200,-136.047
0.440,-0.406,-0.463,-92.285,80.383,-143.433
0.365,-0.450,-0.483,-95.581,77.148,-157.471
0.376,-0.438,-0.439,-103.821,70.618,-169.006
0.357,-0.469,-0.400,-106.140,65.918,-182.800
0.294,-0.548,-0.406,-100.830,65.369,-199.890
0.255,-0.636,-0.399,-98.145,65.125,-212.891
0.209,-0.766,-0.399,-89.539,63.416,-223.755
0.162,-0.961,-0.460,-61.401,63.110,-233.215
0.167,-1.107,-0.460,-44.189,60.303,-231.628
0.167,-1.190,-0.426,-30.945,55.420,-218.567
0.168,-1.213,-0.367,-15.198,52.490,-200.134
0.142,-1.176,-0.237,-4.211,53.528,-180.237
0.106,-1.164,-0.202,13.977,62.561,-164.001
0.119,-1.201,-0.255,26.550,78.979,-151.062
0.110,-1.276,-0.310,31.067,91.370,-139.160
0.136,-1.319,-0.338,42.908,97.290,-121.155
0.141,-1.334,-0.410,51.697,104.187,-98.999
0.142,-1.332,-0.528,63.782,111.389,-74.341
0.117,-1.274,-0.636,69.092,112.488,-51.636
0.067,-1.182,-0.680,88.684,109.436,-30.151
0.017,-1.070,-0.772,104.004,99.854,-12.878
0.057,-0.988,-0.806,94.604,88.501,-2.136
0.091,-0.895,-0.883,106.323,78.003,4.395
0.104,-0.827,-0.881,97.473,65.308,7.263
0.141,-0.729,-0.820,82.153,49.072,6.958
0.136,-0.697,-0.666,77.209,36.072,3.174
0.102,-0.905,-0.397,43.152,28.198,-6.348
0.046,-1.060,-0.408,53.284,31.799,-5.676
0.058,-1.105,-0.408,54.321,46.814,8.606
0.077,-1.075,-0.557,52.185,62.012,26.794
0.070,-0.975,-0.717,49.072,68.420,44.495
0.093,-0.804,-0.813,36.804,69.702,58.411
0.053,-0.618,-1.046,31.372,70.129,63.782
0.031,-0.542,-1.322,34.912,63.782,55.481
0.055,-0.577,-1.475,29.602,35.095,37.537
0.050,-0.667,-1.401,20.020,-6.226,21.179
0.042,-0.790,-1.112,11.169,-46.387,9.583
0.046,-0.904,-0.832,14.526,-72.266,4.333
0.088,-0.951,-0.598,20.752,-81.421,7.141
0.128,-0.910,-0.396,23.254,-77.515,16.968
0.148,-0.835,-0.272,25.818,-62.500,26.794
0.149,-0.750,-0.261,31.799,-38.086,32.776
0.150,-0.685,-0.311,40.283,-11.780,33.997
0.153,-0.684,-0.595,71.228,8.179,31.372
0.145,-0.676,-0.768,62.500,19.592,28.320
0.140,-0.725,-0.976,63.049,18.982,24.048
0.105,-0.762,-1.131,66.833,7.385,22.034
0.137,-0.769,-1.123,58.533,-15.137,23.865
0.148,-0.757,-0.996,46.448,-40.161,27.100
0.175,-0.693,-0.684,20.874,-55.847,30.457
0.179,-0.611,-0.512,15.259,-60.364,32.715
0.191,-0.557,-0.442,16.785,-51.819,31.311
0.196,-0.528,-0.414,13.000,-36.682,26.794
0.204,-0.504,-0.422,7.935,-21.667,21.667
0.199,-0.519,-0.536,7.263,-5.432,14.343
0.213,-0.585,-0.702,9.399,5.066,6.775
0.210,-0.628,-0.797,7.019,5.127,3.052
0.203,-0.673,-0.852,4.395,-0.610,2.258
0.194,-0.719,-0.865,1.648,-8.118,2.502
0.195,-0.747,-0.861,0.000,-16.541,5.127
0.191,-0.789,-0.842,1.282,-23.865,8.118
0.193,-0.811,-0.810,3.174,-30.457,13.000
0.266,-0.768,-0.701,0.977,-36.804,20.874
0.196,-0.732,-0.694,10.803,-39.307,27.405
0.241,-0.607,-0.519,8.362,-44.495,33.875
0.266,-0.507,-0.427,4.395,-39.368,34.607
0.284,-0.449,-0.420,3.235,-24.231,28.931
0.304,-0.436,-0.474,2.869,-7.996,19.104
0.301,-0.475,-0.571,5.798,3.418,7.996
0.276,-0.567,-0.717,13.550,10.315,-1.160
0.265,-0.667,-0.847,18.188,10.864,-6.226
0.268,-0.727,-0.868,16.296,2.808,-6.165
0.271,-0.743,-0.783,14.954,-7.874,-2.625
0.269,-0.750,-0.676,18.372,-13.855,1.099
0.271,-0.730,-0.637,28.320,-14.160,6.409
0.279,-0.689,-0.611,24.109,-11.108,12.207
0.290,-0.618,-0.604,33.203,-6.531,16.357
0.303,2.249,-0.196,31.799,58.228,-105.469
0.128,2.352,-0.230,21.057,47.913,-157.471
0.035,2.237,-0.249,27.405,32.898,-223.694
-0.094,1.849,-0.233,30.334,15.381,-292.542
-0.120,1.427,-0.135,10.071,-3.540,-345.093
-0.038,1.032,-0.030,3.601,-20.325,-377.380
0.058,0.698,0.120,7.385,-31.006,-388.855
0.162,0.427,0.251,11.902,-33.752,-383.850
0.268,0.239,0.393,13.000,-28.748,-363.892
0.346,0.184,0.501,14.343,-13.916,-332.031
0.395,0.225,0.602,23.193,3.540,-299.377
0.506,0.317,0.637,28.259,28.198,-273.804
0.466,0.421,0.545,42.664,57.739,-256.348
0.522,0.437,0.488,55.603,83.801,-251.221
0.503,0.457,0.358,57.251,107.239,-250.977
0.511,0.453,0.256,58.960,123.413,-252.991
0.498,0.353,0.114,62.866,135.681,-263.123
0.502,0.231,-0.043,55.359,144.775,-271.301
0.592,0.117,-0.162,31.433,145.447,-274.902
0.523,-0.021,-0.257,9.766,138.977,-274.597
0.571,-0.158,-0.221,4.822,124.939,-270.325
0.554,-0.275,-0.153,7.324,109.314,-258.240
0.621,-0.340,-0.024,0.244,98.999,-241.150
0.609,-0.384,0.088,4.944,96.741,-221.558
0.596,-0.348,0.179,8.606,103.149,-200.684
0.603,-0.220,0.234,7.019,115.723,-180.359
0.560,-0.089,0.179,21.301,134.155,-169.922
0.536,-0.005,0.054,34.973,152.405,-170.471
0.502,-0.021,-0.126,46.509,167.603,-179.993
0.520,-0.067,-0.229,42.236,174.744,-192.078
0.479,-0.185,-0.300,41.382,175.171,-203.857
0.455,-0.286,-0.304,31.799,173.401,-211.914
0.522,-0.337,-0.261,16.174,170.471,-213.257
0.481,-0.449,-0.307,18.372,173.462,-214.233
0.477,-0.567,-0.375,24.109,179.443,-213.196
0.411,-0.687,-0.470,33.203,182.617,-206.482
0.376,-0.798,-0.575,44.922,182.678,-193.848
0.352,-0.892,-0.659,49.500,179.871,-177.917
0.327,-0.916,-0.727,45.959,173.279,-155.945
0.358,-0.876,-0.769,37.903,164.917,-132.812
0.387,-0.801,-0.804,34.668,156.494,-113.342
0.397,-0.713,-0.838,37.659,149.109,-98.633
0.436,-0.607,-0.814,31.677,141.052,-89.417
0.401,-0.549,-0.823,23.193,135.864,-85.510
0.390,-0.533,-0.854,13.367,132.080,-86.060
0.385,-0.610,-0.946,5.127,128.296,-89.294
0.378,-0.694,-1.012,-1.038,120.667,-89.417
0.375,-0.762,-1.032,-2.258,107.239,-84.473
0.355,-0.827,-1.076,-2.075,93.872,-76.843
0.375,-0.819,-1.012,-8.545,80.627,-66.956
0.358,-0.776,-0.953,-15.076,65.979,-53.894
0.351,-0.730,-0.916,-18.799,61.707,-45.105
0.347,-0.629,-0.810,-22.278,54.932,-38.330
0.327,-0.495,-0.673,-27.344,52.124,-36.255
0.295,-0.363,-0.554,-32.959,54.565,-40.283
0.275,-0.323,-0.554,-30.334,65.491,-52.002
0.282,-0.437,-0.734,-19.165,79.956,-68.970
0.315,-0.599,-0.938,-13.000,86.670,-81.909
0.313,-0.727,-1.074,-15.686,82.825,-85.632
0.292,-0.835,-1.179,-21.118,71.167,-82.520
0.295,-0.915,-1.219,-24.658,53.223,-74.829
0.272,-0.932,-1.174,-31.189,30.334,-61.157
0.268,-0.894,-1.032,-40.161,7.385,-45.532
0.280,-0.829,-0.885,-47.241,-6.836,-32.898
0.285,-0.740,-0.765,-41.748,-13.672,-23.804
0.309,-0.673,-0.712,-31.677,-14.099,-18.982
0.348,-0.647,-0.698,-22.034,-9.583,-19.409
0.350,-0.615,-0.665,-19.409,-6.653,-20.569
0.348,-0.599,-0.640,-18.555,-3.418,-22.461
0.335,-0.609,-0.634,-16.479,0.183,-26.001
0.307,-0.647,-0.675,-8.789,4.395,-28.381
0.316,-0.727,-0.777,-3.113,7.874,-30.090
0.325,-0.788,-0.871,4.211,6.470,-28.442
0.320,-0.813,-0.923,14.404,0.366,-22.583
0.331,-0.840,-0.947,18.921,-7.629,-16.235
0.338,-0.829,-0.897,18.188,-17.700,-8.728
0.320,-0.748,-0.787,18.921,-27.771,-0.977
0.315,-0.654,-0.679,24.048,-33.813,3.540
0.339,-0.594,-0.590,24.353,-34.424,3.662
0.342,-0.562,-0.523,25.757,-30.029,1.221
0.334,-0.557,-0.500,28.442,-21.423,-2.197
0.331,-0.583,-0.537,31.799,-10.254,-5.554
0.311,-0.634,-0.621,31.555,0.183,-8.179
0.259,-0.679,-0.744,27.100,6.409,-7.751
0.294,-0.719,-0.852,-71.289,7.996,1.404
0.382,-0.505,-0.811,-189.636,-8.606,21.118
0.403,-0.406,-0.548,-118.713,-19.348,11.414
0.337,-0.494,-0.432,-75.134,-14.648,-9.583
0.266,-0.653,-0.414,-53.650,-2.991,-24.048
0.275,-0.760,-0.444,-52.734,9.033,-26.489
0.283,-0.776,-0.488,-53.162,18.372,-21.851
0.260,-0.775,-0.581,-37.964,25.574,-18.066
0.254,-0.796,-0.716,-19.409,29.846,-16.724
0.214,-0.786,-0.805,-3.540,27.161,-14.221
0.249,-0.825,-0.844,19.592,17.395,-12.695
0.228,-0.908,-0.872,29.236,6.104,-12.207
0.216,-0.894,-0.787,25.330,-6.592,-3.418
0.219,-0.784,-0.656,18.555,-16.235,7.568
0.226,-0.655,-0.560,8.240,-17.822,13.916
0.240,-0.565,-0.526,0.000,-12.817,12.512
0.267,-0.570,-0.573,-2.441,-4.944,5.066
0.274,-0.656,-0.667,-1.587,0.732,-3.235
0.257,-0.752,-0.732,1.709,0.488,-7.385
0.249,-0.797,-0.717,5.127,-4.089,-6.287
0.252,-0.785,-0.655,7.019,-8.850,-2.380
